server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,key_point,p1_recent_score,p2_recent_score,p1_first_serve_rate,p2_first_serve_rate,p1_second_serve_rate,p2_second_serve_rate,p1_serve_points_won_rate,p2_serve_points_won_rate,p1_aces_rate,p2_aces_rate,p1_break_point_rate,p2_break_point_rate,p1_score,p2_score,sw_2,sw_3,sw_4,sw_5,sw_6,sd_2,sd_3,rd_2,rd_3
2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112,0,3,2,.7,1,1,.85,.6,1,.2,1,0,.4,0,0,0,0,0,0,1,0,0,0,0
2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130,0,3,2,.7,1,1,.85,.6,.5,.2,.5,.5,.4,1,0,0,0,0,0,1,0,1,0,0
2,1,1,8,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.013,18.626,4,120,0,3,2,.7,1,1,.85,.6,.333333333,.2,.333333333,.666666667,.4,2,0,0,0,1,0,0,0,1,0,0
2,1,2,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128,0,4,1,.7,1,1,.85,.6,.5,.2,.25,.5,.4,2,1,0,0,0,0,1,0,1,0,1
2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130,0,3,2,.7,1,1,.85,.6,.6,.2,.2,.4,.4,2,2,0,0,1,0,0,0,1,0,1
2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97,1,2,3,.7,.833333333,1,1,.6,.5,.2,.166666667,.5,.4,3,2,0,1,0,0,0,0,1,0,0
2,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124,1,3,2,.7,.857142857,1,1,.6,.571428571,.2,.142857143,.428571429,.4,3,3,1,0,0,0,0,0,1,1,0
2,1,2,9,9,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15.194,16.594,3,116,1,2,3,.7,.875,1,1,.6,.625,.2,.125,.375,.4,3,4,0,0,1,0,0,0,1,0,1
1,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.899,1.073,1,126,0,1,4,.727272727,.875,1,1,.636363636,.625,.272727273,.125,.375,.363636364,0,0,0,0,1,0,0,0,0,1,0
1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127,0,2,3,.75,.875,1,1,.666666667,.625,.25,.125,.375,.333333333,1,0,0,0,0,0,1,0,0,0,0
1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114,0,3,2,.769230769,.875,1,1,.615384615,.625,.230769231,.125,.375,.384615385,1,1,0,1,0,0,0,0,1,0,0
1,1,1,12,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42.166,32.944,9,127,0,2,3,.785714286,.875,1,1,.642857143,.625,.214285714,.125,.375,.357142857,2,1,0,0,0,0,0,0,1,0,1
1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103,1,3,2,.733333333,.875,1,1,.666666667,.625,.2,.125,.375,.333333333,3,1,1,0,0,0,0,0,1,0,0
2,2,2,13,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107,0,4,1,.733333333,.777777778,1,1,.666666667,.666666667,.2,.111111111,.333333333,.333333333,0,0,1,0,0,0,0,0,1,0,1
2,1,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111,0,3,2,.733333333,.8,1,1,.666666667,.7,.2,.1,.3,.333333333,0,1,0,1,0,0,0,0,1,0,1
2,1,2,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.903,1.067,1,125,0,2,3,.733333333,.818181818,1,1,.666666667,.727272727,.2,.181818182,.272727273,.333333333,0,2,0,0,1,0,0,0,1,1,0
2,1,2,13,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126,1,2,3,.733333333,.833333333,1,1,.666666667,.75,.2,.166666667,.25,.333333333,0,3,0,0,0,0,1,0,1,1,0
1,1,1,14,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116,0,1,4,.75,.833333333,1,1,.6875,.75,.1875,.166666667,.25,.3125,0,0,0,0,0,0,1,0,0,0,1
1,1,1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,129,0,1,4,.764705882,.833333333,1,1,.705882353,.75,.176470588,.166666667,.25,.294117647,1,0,0,0,1,0,0,0,1,0,1
1,1,1,16,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.974,12.523,3,110,0,2,3,.777777778,.833333333,1,1,.722222222,.75,.166666667,.166666667,.25,.277777778,2,0,1,0,0,0,0,0,1,0,1
1,2,2,16,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.609,6.965,2,113,1,3,2,.736842105,.833333333,1,1,.684210526,.75,.157894737,.166666667,.25,.315789474,2,1,1,0,0,0,0,0,1,0,1
1,2,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,104,1,3,2,.7,.833333333,1,1,.65,.75,.15,.166666667,.25,.35,2,2,1,0,0,0,0,0,1,0,0
1,1,2,16,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.859,11.439,2,111,1,3,2,.714285714,.833333333,1,1,.619047619,.75,.142857143,.166666667,.25,.380952381,2,3,0,0,0,0,0,0,0,0,0
1,2,1,17,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.782,25.6,5,97,1,2,3,.681818182,.833333333,1,1,.636363636,.75,.136363636,.166666667,.25,.363636364,3,3,0,0,1,0,0,0,0,0,0
1,1,1,18,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.824,9.574,1,114,1,2,3,.695652174,.833333333,1,1,.652173913,.75,.130434783,.166666667,.25,.347826087,4,3,0,0,1,0,0,0,1,0,0
2,1,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,110,0,2,3,.695652174,.846153846,1,1,.652173913,.769230769,.130434783,.153846154,.230769231,.347826087,0,0,0,0,0,0,1,0,0,0,1
2,2,1,19,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.094,29.593,6,90,0,2,3,.695652174,.785714286,1,1,.652173913,.714285714,.130434783,.142857143,.285714286,.347826087,1,0,0,1,0,0,0,0,1,0,1
2,1,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,125,0,3,2,.695652174,.8,1,1,.652173913,.733333333,.130434783,.133333333,.266666667,.347826087,1,1,0,0,1,0,0,0,1,0,0
2,1,2,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,127,0,3,2,.695652174,.8125,1,1,.652173913,.75,.130434783,.125,.25,.347826087,1,2,0,0,0,0,0,0,1,0,1
2,2,2,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,111,1,2,3,.695652174,.764705882,1,1,.652173913,.764705882,.130434783,.117647059,.235294118,.347826087,1,3,0,1,0,0,0,0,1,0,1
1,2,1,20,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.233,32.677,9,107,0,1,4,.666666667,.764705882,1,1,.666666667,.764705882,.125,.117647059,.235294118,.333333333,0,0,0,1,0,0,0,0,1,0,1
1,1,1,21,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,120,0,2,3,.68,.764705882,1,1,.68,.764705882,.12,.117647059,.235294118,.32,1,0,0,0,1,0,0,0,1,0,1
1,1,1,22,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,115,0,2,3,.692307692,.764705882,1,1,.692307692,.764705882,.115384615,.117647059,.235294118,.307692308,2,0,0,0,0,0,1,0,0,0,1
1,2,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,104,1,3,2,.666666667,.764705882,1,1,.666666667,.764705882,.111111111,.117647059,.235294118,.333333333,2,1,0,1,0,0,0,0,1,0,0
1,2,1,23,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.727,25.324,5,101,1,3,2,.642857143,.764705882,1,1,.678571429,.764705882,.107142857,.117647059,.235294118,.321428571,3,1,0,0,0,0,0,0,1,0,0
2,1,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,4.853,1,132,0,4,1,.642857143,.777777778,1,1,.678571429,.777777778,.107142857,.111111111,.222222222,.321428571,0,0,0,0,1,0,0,0,0,0,0
2,2,1,24,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.929,.93,0,0,0,3,2,.642857143,.736842105,1,.8,.678571429,.736842105,.107142857,.105263158,.263157895,.321428571,1,0,0,0,0,0,1,0,0,1,0
2,1,2,24,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.427,.849,1,130,0,3,2,.642857143,.75,1,.8,.678571429,.75,.107142857,.15,.25,.321428571,1,1,0,0,1,0,0,0,0,1,0
2,2,1,25,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.838,18.464,6,101,0,2,3,.642857143,.714285714,1,.833333333,.678571429,.714285714,.107142857,.142857143,.285714286,.321428571,2,1,0,1,0,0,0,0,1,0,0
2,2,1,26,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61.781,54.356,16,106,0,3,2,.642857143,.681818182,1,.857142857,.678571429,.681818182,.107142857,.136363636,.318181818,.321428571,3,1,0,0,0,0,0,0,1,0,0
2,2,1,27,24,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,29.677,19.121,6,106,1,3,2,.642857143,.652173913,1,.875,.678571429,.652173913,.107142857,.130434783,.347826087,.321428571,4,1,0,0,0,0,0,0,1,0,1
1,1,1,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341,4.725,1,115,1,4,1,.655172414,.652173913,1,.875,.689655172,.652173913,.103448276,.130434783,.347826087,.310344828,0,0,0,1,0,0,0,0,1,0,0
1,2,2,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.528,7.524,2,100,1,4,1,.633333333,.652173913,1,.875,.666666667,.652173913,.1,.130434783,.347826087,.333333333,0,1,0,1,0,0,0,0,1,0,0
1,1,1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.227,6.116,1,122,1,4,1,.64516129,.652173913,1,.875,.677419355,.652173913,.096774194,.130434783,.347826087,.322580645,1,1,1,0,0,0,0,0,1,0,0
1,1,2,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.654,11.702,4,115,1,4,1,.65625,.652173913,1,.875,.65625,.652173913,.09375,.130434783,.347826087,.34375,1,2,0,0,1,0,0,0,1,0,1
1,1,1,30,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.34,11.519,3,129,1,3,2,.666666667,.652173913,1,.875,.666666667,.652173913,.090909091,.130434783,.347826087,.333333333,2,2,0,0,1,0,0,0,1,0,1
1,1,2,30,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.299,8.077,2,113,2,3,2,.676470588,.652173913,1,.875,.647058824,.652173913,.088235294,.130434783,.347826087,.352941176,2,3,0,1,0,0,0,0,1,1,0
1,1,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.428,29.751,7,114,2,2,3,.685714286,.652173913,1,.875,.657142857,.652173913,.085714286,.130434783,.347826087,.342857143,3,3,0,1,0,0,0,0,1,0,0
1,2,2,31,28,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16.514,17.962,4,88,2,3,2,.666666667,.652173913,1,.875,.638888889,.652173913,.083333333,.130434783,.347826087,.361111111,3,4,0,1,0,0,0,0,1,0,1
1,1,2,31,29,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21.882,23.411,6,123,2,2,3,.675675676,.652173913,1,.875,.621621622,.652173913,.081081081,.130434783,.347826087,.378378378,3,5,1,0,0,0,0,0,1,0,0
1,1,1,32,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,18.705,28.259,7,121,2,2,3,.684210526,.652173913,1,.875,.631578947,.652173913,.078947368,.130434783,.347826087,.368421053,4,5,1,0,0,0,0,0,1,0,1
1,1,1,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,3.14,1,130,2,2,3,.692307692,.652173913,1,.875,.641025641,.652173913,.076923077,.130434783,.347826087,.358974359,5,5,0,0,1,0,0,0,1,0,1
1,1,1,34,29,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16.592,19.606,3,132,2,3,2,.7,.652173913,1,.875,.65,.652173913,.075,.130434783,.347826087,.35,6,5,0,1,0,0,0,0,1,0,1
2,1,2,34,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.621,.843,1,123,0,3,2,.7,.666666667,1,.875,.65,.666666667,.075,.166666667,.333333333,.35,0,0,0,0,1,0,0,0,1,1,0
2,1,2,34,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.896,.864,1,117,0,3,2,.7,.68,1,.875,.65,.68,.075,.2,.32,.35,0,1,0,0,1,0,0,0,1,1,0
2,1,2,34,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.619,3.818,1,123,0,3,2,.7,.692307692,1,.875,.65,.692307692,.075,.192307692,.307692308,.35,0,2,0,0,0,0,0,0,1,0,1
2,1,2,34,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,6.471,1,122,1,2,3,.7,.703703704,1,.875,.65,.703703704,.075,.185185185,.296296296,.35,0,3,0,0,1,0,0,0,0,0,1
1,1,1,35,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.827,1.015,1,127,0,1,4,.707317073,.703703704,1,.875,.658536585,.703703704,.097560976,.185185185,.296296296,.341463415,0,0,0,0,1,0,0,0,1,1,0
1,2,1,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754,3.715,1,102,0,1,4,.69047619,.703703704,1,.875,.666666667,.703703704,.095238095,.185185185,.296296296,.333333333,1,0,0,1,0,0,0,0,1,0,1
1,2,2,36,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.314,3.801,2,111,0,2,3,.674418605,.703703704,1,.875,.651162791,.703703704,.093023256,.185185185,.296296296,.348837209,1,1,0,1,0,0,0,0,1,0,0
1,1,2,36,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35.48,40.171,12,118,0,2,3,.681818182,.703703704,1,.875,.636363636,.703703704,.090909091,.185185185,.296296296,.363636364,1,2,1,0,0,0,0,0,1,0,0
1,1,1,37,35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.824,1.682,1,126,0,2,3,.688888889,.703703704,1,.875,.644444444,.703703704,.111111111,.185185185,.296296296,.355555556,2,2,0,0,1,0,0,0,1,1,0
1,2,2,37,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.674,13.243,2,97,1,3,2,.673913043,.703703704,1,.875,.630434783,.703703704,.108695652,.185185185,.296296296,.369565217,2,3,0,0,0,0,1,0,0,0,1
1,2,2,37,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.494,9.222,2,105,1,2,3,.659574468,.703703704,1,.875,.617021277,.703703704,.106382979,.185185185,.296296296,.382978723,2,4,1,0,0,0,0,0,1,0,0
1,1,2,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.235,10.59,2,129,1,1,4,.666666667,.703703704,1,.875,.604166667,.703703704,.104166667,.185185185,.296296296,.395833333,2,5,0,0,0,0,0,0,1,0,1
2,1,2,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125,7.455,1,126,0,1,4,.666666667,.714285714,1,.875,.604166667,.714285714,.104166667,.178571429,.285714286,.395833333,0,0,0,0,1,0,0,0,0,0,0
2,1,2,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.712,11.06,1,128,0,1,4,.666666667,.724137931,1,.875,.604166667,.724137931,.104166667,.172413793,.275862069,.395833333,0,1,0,0,0,0,1,0,0,0,1
2,1,2,37,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.788,5.077,3,108,0,0,5,.666666667,.733333333,1,.875,.604166667,.733333333,.104166667,.166666667,.266666667,.395833333,0,2,0,1,0,0,0,0,1,0,0
2,2,2,37,42,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.044,35.246,7,101,1,0,5,.666666667,.709677419,1,.888888889,.604166667,.741935484,.104166667,.161290323,.258064516,.395833333,0,3,0,0,0,0,1,0,0,0,0
1,2,2,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.924,44.017,10,106,0,0,5,.653061224,.709677419,1,.888888889,.591836735,.741935484,.102040816,.161290323,.258064516,.408163265,0,0,0,0,0,0,0,0,1,0,0
1,1,1,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013,9.173,1,111,0,0,5,.66,.709677419,1,.888888889,.6,.741935484,.1,.161290323,.258064516,.4,1,0,0,0,1,0,0,0,1,0,1
1,1,1,39,43,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.761,.939,1,110,0,1,4,.666666667,.709677419,1,.888888889,.607843137,.741935484,.117647059,.161290323,.258064516,.392156863,2,0,0,0,0,0,1,0,0,1,0
1,1,2,39,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.844,40.876,8,119,0,2,3,.673076923,.709677419,1,.888888889,.596153846,.741935484,.115384615,.161290323,.258064516,.403846154,2,1,0,0,1,0,0,0,0,0,0
1,2,2,39,45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12.977,15.558,4,95,0,2,3,.660377358,.709677419,1,.888888889,.58490566,.741935484,.113207547,.161290323,.258064516,.41509434,2,2,0,0,1,0,0,0,1,0,1
1,2,1,40,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9.419,12.316,3,95,1,2,3,.648148148,.709677419,1,.888888889,.592592593,.741935484,.111111111,.161290323,.258064516,.407407407,3,2,0,0,0,0,0,0,1,0,1
1,1,1,41,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.306,18.004,3,102,1,3,2,.654545455,.709677419,1,.888888889,.6,.741935484,.109090909,.161290323,.258064516,.4,4,2,0,1,0,0,0,0,0,0,1
1,2,1,42,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,38.948,11,120,1,3,2,.642857143,.709677419,1,.888888889,.607142857,.741935484,.107142857,.161290323,.258064516,.392857143,5,2,0,0,0,0,0,0,1,0,0
2,1,2,42,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.199,15.177,5,113,0,3,2,.642857143,.71875,1,.888888889,.607142857,.75,.107142857,.15625,.25,.392857143,0,0,0,0,0,0,1,0,0,0,0
2,1,2,42,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.273,7.428,1,128,0,3,2,.642857143,.727272727,1,.888888889,.607142857,.757575758,.107142857,.151515152,.242424242,.392857143,0,1,0,0,0,0,1,0,1,0,0
2,2,1,43,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.467,16.135,6,111,0,3,2,.642857143,.705882353,1,.9,.607142857,.735294118,.107142857,.147058824,.264705882,.392857143,1,1,0,0,1,0,0,0,1,0,1
2,1,1,44,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36.689,27.317,8,131,0,3,2,.642857143,.714285714,1,.9,.607142857,.714285714,.107142857,.142857143,.285714286,.392857143,2,1,0,1,0,0,0,0,1,0,0
2,1,1,45,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39.829,32.608,10,134,0,3,2,.642857143,.722222222,1,.9,.607142857,.694444444,.107142857,.138888889,.305555556,.392857143,3,1,0,0,1,0,0,0,1,0,0
2,1,2,45,48,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,30.783,24.947,5,123,1,3,2,.642857143,.72972973,1,.9,.607142857,.702702703,.107142857,.135135135,.297297297,.392857143,3,2,0,0,0,0,0,0,1,0,1
2,2,1,46,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.903,38.624,10,107,1,3,2,.642857143,.710526316,1,.909090909,.607142857,.684210526,.107142857,.131578947,.315789474,.392857143,4,2,0,0,1,0,0,0,1,0,1
2,1,2,46,49,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,26.961,12.75,3,118,1,4,1,.642857143,.717948718,1,.909090909,.607142857,.692307692,.107142857,.128205128,.307692308,.392857143,4,3,0,0,0,0,1,0,0,0,1
2,1,2,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.211,4.663,1,131,1,3,2,.642857143,.725,1,.909090909,.607142857,.7,.107142857,.125,.3,.392857143,4,4,0,0,1,0,0,0,1,0,1
2,1,2,46,51,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20.629,16.426,5,129,1,2,3,.642857143,.731707317,1,.909090909,.607142857,.707317073,.107142857,.12195122,.292682927,.392857143,4,5,0,1,0,0,0,0,1,1,0
1,2,2,46,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.367,14.617,2,115,0,1,4,.631578947,.731707317,1,.909090909,.596491228,.707317073,.105263158,.12195122,.292682927,.403508772,0,0,0,0,1,0,0,0,1,0,1
1,1,1,47,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716,6.076,1,109,0,1,4,.637931034,.731707317,1,.909090909,.603448276,.707317073,.103448276,.12195122,.292682927,.396551724,1,0,0,0,1,0,0,0,1,0,1
1,2,2,47,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.607,6.246,2,91,0,1,4,.627118644,.731707317,1,.909090909,.593220339,.707317073,.101694915,.12195122,.292682927,.406779661,1,1,0,0,1,0,0,0,1,0,1
1,1,1,48,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.576,4.202,1,126,0,1,4,.633333333,.731707317,1,.909090909,.6,.707317073,.1,.12195122,.292682927,.4,2,1,0,0,0,0,1,0,1,0,1
1,1,1,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.352,19.512,1,108,0,2,3,.639344262,.731707317,1,.909090909,.606557377,.707317073,.098360656,.12195122,.292682927,.393442623,3,1,0,0,0,0,0,0,1,0,0
1,1,2,49,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.38,47.896,10,97,1,3,2,.64516129,.731707317,1,.909090909,.596774194,.707317073,.096774194,.12195122,.292682927,.403225806,3,2,0,0,0,0,1,0,1,0,0
1,1,1,50,54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7.675,16.449,3,127,1,3,2,.650793651,.731707317,1,.909090909,.603174603,.707317073,.095238095,.12195122,.292682927,.396825397,4,2,0,0,1,0,0,0,1,1,0
