point_victor,RM1,point_victor1
2,0.624952646,0
1,0.606726387,1
2,0.434391614,0
2,0.401448219,0
2,0.295094823,0
1,0.417022449,1
2,0.437757807,0
1,0.597011424,1
1,0.648247332,1
2,0.636174287,0
2,0.485025952,0
1,0.486640427,1
1,0.640657812,1
1,0.726720001,1
2,0.579872796,0
1,0.608455621,1
1,0.617885645,1
1,0.824439556,1
1,0.810814828,1
1,0.871908592,1
1,0.822532332,1
2,0.606692444,0
1,0.490328622,1
2,0.363971562,0
1,0.494124201,1
1,0.55277534,1
2,0.602791218,0
2,0.542075881,0
1,0.558302037,1
1,0.648937359,1
1,0.823511998,1
1,0.846725628,1
2,0.622928409,0
2,0.460435312,0
1,0.385112554,1
1,0.512941669,1
1,0.591074725,1
2,0.474842705,0
2,0.318857075,0
1,0.350446237,1
1,0.49532112,1
2,0.503119053,0
2,0.414212672,0
1,0.423892406,1
1,0.548235413,1
1,0.658056361,1
1,0.650831834,1
2,0.609826025,0
1,0.602101757,1
2,0.528614426,0
2,0.510580166,0
1,0.53222955,1
2,0.533672971,0
2,0.519232574,0
1,0.541123384,1
1,0.618659085,1
1,0.698214243,1
1,0.746964759,1
2,0.539250677,0
2,0.427778907,0
1,0.487307496,1
2,0.479993504,0
1,0.701585532,1
1,0.719139899,1
2,0.712850178,0
1,0.655071572,1
1,0.644766637,1
1,0.788688538,1
2,0.479391657,0
2,0.450328524,0
2,0.374282784,0
2,0.342146032,0
1,0.405780135,1
1,0.53482086,1
2,0.542491247,0
2,0.483897615,0
1,0.455069221,1
1,0.568135514,1
2,0.593685491,0
2,0.548843245,0
2,0.444843106,0
2,0.402904241,0
1,0.463599928,1
1,0.552416118,1
1,0.620452111,1
2,0.474483265,0
1,0.505699554,1
1,0.547399516,1
2,0.615727144,0
2,0.471409737,0
1,0.482922346,1
1,0.572471801,1
2,0.563173969,0
1,0.542760719,1
2,0.419889779,0
2,0.430507366,0
2,0.340083012,0
1,0.432793714,1
1,0.477104177,1
2,0.465152256,0
1,0.544706815,1
1,0.589476265,1
1,0.642788115,1
2,0.508298199,0
2,0.43799381,0
2,0.370184275,0
2,0.388025901,0
1,0.457200745,1
1,0.518621791,1
1,0.571670142,1
1,0.604390944,1
1,0.606627434,1
1,0.677609767,1
1,0.683166228,1
2,0.587791905,0
1,0.619080937,1
1,0.623178151,1
1,0.708123055,1
1,0.689745465,1
1,0.702878153,1
2,0.613196472,0
1,0.575399474,1
2,0.481891836,0
2,0.487224796,0
1,0.486113748,1
2,0.463428708,0
2,0.440329681,0
2,0.368326033,0
1,0.466149689,1
1,0.547379349,1
1,0.665019802,1
1,0.654552393,1
1,0.632741175,1
1,0.588474491,1
1,0.580932179,1
1,0.696601076,1
1,0.698880136,1
1,0.731139704,1
1,0.668953221,1
1,0.669204716,1
2,0.615565858,0
1,0.618225942,1
2,0.502771041,0
2,0.472488296,0
2,0.379821713,0
2,0.411083649,0
2,0.339261982,0
2,0.323623976,0
1,0.405681818,1
1,0.534166702,1
2,0.515670187,0
2,0.439715133,0
1,0.464256639,1
2,0.493015388,0
2,0.514140963,0
2,0.406511076,0
2,0.346463931,0
1,0.438122842,1
2,0.402013469,0
2,0.426034358,0
2,0.338345743,0
2,0.315058144,0
2,0.262190263,0
2,0.268588052,0
2,0.273861766,0
1,0.446204593,1
2,0.414114715,0
1,0.551617499,1
1,0.507239237,1
2,0.533354152,0
1,0.514105676,1
1,0.544839011,1
2,0.554460415,0
1,0.57886702,1
2,0.505875799,0
1,0.612851528,1
2,0.500692174,0
2,0.439808757,0
2,0.325712015,0
1,0.39195449,1
1,0.474828236,1
1,0.569273742,1
1,0.590384529,1
1,0.653947327,1
2,0.60802457,0
1,0.714556853,1
1,0.695867986,1
2,0.599606991,0
2,0.461867762,0
2,0.366874344,0
2,0.33921383,0
1,0.430718709,1
1,0.491360967,1
1,0.582522167,1
1,0.622713135,1
2,0.565876588,0
2,0.515095734,0
1,0.485028082,1
1,0.545277313,1
1,0.635782996,1
1,0.662358183,1
1,0.654343016,1
1,0.635408589,1
1,0.642151273,1
1,0.631559813,1
2,0.538773953,0
2,0.386438552,0
1,0.48452395,1
2,0.433896553,0
1,0.696657695,1
1,0.714343535,1
1,0.941656017,1
1,0.922085035,1
1,0.826546274,1
2,0.662380986,0
1,0.600777123,1
2,0.433762332,0
2,0.332480296,0
1,0.334365637,1
1,0.475148589,1
2,0.509340809,0
1,0.518316487,1
1,0.527292165,1
2,0.54980376,0
1,0.631032994,1
1,0.646929456,1
2,0.600568163,0
2,0.408816717,0
2,0.257585155,0
1,0.430713226,1
2,0.405562808,0
1,0.55335755,1
1,0.536168421,1
1,0.649600029,1
1,0.649391266,1
2,0.550182938,0
2,0.461981311,0
2,0.35862852,0
2,0.387968386,0
1,0.469898167,1
2,0.446478894,0
1,0.545635649,1
1,0.547558564,1
1,0.662861253,1
1,0.689511061,1
2,0.640581726,0
1,0.594083688,1
2,0.49179999,0
1,0.556092645,1
1,0.644043216,1
1,0.649761971,1
1,0.656325273,1
2,0.46493783,0
1,0.547270026,1
1,0.596397916,1
1,0.755606058,1
1,0.795780496,1
2,0.668540586,0
2,0.463814736,0
1,0.456545576,1
1,0.614632561,1
2,0.438323899,0
1,0.496640411,1
2,0.458250266,0
1,0.554065346,1
2,0.480323714,0
2,0.472848164,0
1,0.463599928,1
2,0.393769203,0
2,0.366777859,0
1,0.365759938,1
1,0.517352721,1
1,0.600596438,1
2,0.568079974,0
1,0.623953479,1
2,0.558621537,0
2,0.54767908,0
2,0.419220196,0
1,0.487162054,1
1,0.546628127,1
1,0.644526802,1
2,0.552023989,0
1,0.560035148,1
1,0.531920483,1
2,0.534127327,0
2,0.485002147,0
2,0.358164947,0
2,0.289394105,0
2,0.23740352,0
2,0.278687896,0
1,0.400258433,1
2,0.424466235,0
1,0.497855616,1
1,0.519283069,1
2,0.47407985,0
1,0.483759584,1
1,0.467945865,1
2,0.499051207,0
1,0.508444216,1
1,0.552185384,1
2,0.541225963,0
2,0.486002264,0
2,0.398605365,0
2,0.397342856,0
1,0.457200745,1
1,0.562394425,1
1,0.632883724,1
2,0.552023989,0
1,0.524739674,1
1,0.552098434,1
2,0.583621654,0
1,0.663178092,1
2,0.518949824,0
2,0.508581369,0
1,0.492234133,1
1,0.580157222,1
1,0.657054447,1
1,0.667044413,1
2,0.555506072,0
1,0.553272957,1
2,0.385408361,0
1,0.511840407,1
1,0.567574176,1
2,0.643336228,0
2,0.550481048,0
2,0.432370982,0
2,0.411216259,0
2,0.434441906,0
2,0.31512507,0
1,0.378602944,1
2,0.27498804,0
1,0.472356185,1
2,0.385225076,0
1,0.551496163,1
2,0.475632649,0
1,0.599271118,1
2,0.49333082,0
1,0.566690461,1
2,0.480750508,0
1,0.593948395,1
2,0.461059345,0
2,0.399437571,0
2,0.273955165,0
2,0.340474814,0
2,0.375996044,0
2,0.303253362,0
2,0.277779468,0
2,0.291118845,0
2,0.342718483,0
2,0.345823881,0
2,0.306657526,0
1,0.432071699,1
1,0.560780447,1
2,0.530554512,0
1,0.526823131,1
1,0.532657959,1
2,0.532503147,0
1,0.550710933,1
2,0.436729421,0
2,0.411621408,0
1,0.430207202,1
1,0.547851242,1
2,0.5521,0
2,0.423584777,0
1,0.38161412,1
2,0.398780775,0
1,0.489419834,1
1,0.537638529,1
2,0.495327957,0
1,0.553670197,1
1,0.518605323,1
1,0.684695899,1
2,0.553485055,0
1,0.573912741,1
2,0.444490869,0
2,0.465344682,0
2,0.396251853,0
2,0.387276175,0
1,0.456333227,1
1,0.514848257,1
1,0.576521288,1
1,0.597095759,1
2,0.545334959,0
2,0.50647171,0
2,0.393936148,0
2,0.306457346,0
1,0.429022275,1
2,0.44915999,0
2,0.478038329,0
1,0.442560926,1
2,0.454696244,0
2,0.421301903,0
2,0.407540401,0
2,0.39335776,0
1,0.481738448,1
2,0.49610418,0
1,0.574811128,1
2,0.504741829,0
1,0.564589587,1
2,0.45653843,0
2,0.394223385,0
1,0.405324989,1
2,0.394223385,0
1,0.537683713,1
1,0.519681822,1
1,0.601778821,1
1,0.588806238,1
2,0.515806721,0
2,0.456801879,0
2,0.396552647,0
2,0.388733203,0
1,0.514974945,1
2,0.458905022,0
1,0.577091053,1
1,0.574141473,1
1,0.75634583,1
2,0.576617431,0
1,0.636244219,1
2,0.475627284,0
2,0.47996594,0
1,0.481649587,1
1,0.64045254,1
1,0.81272465,1
2,0.668350825,0
2,0.491321899,0
1,0.499200821,1
1,0.642950844,1
2,0.603043625,0
2,0.393362601,0
1,0.385587259,1
1,0.60078232,1
2,0.617923975,0
2,0.466740907,0
2,0.322811408,0
1,0.395398304,1
1,0.533571558,1
1,0.623962181,1
1,0.703189988,1
2,0.589626336,0
2,0.538334545,0
2,0.434015705,0
2,0.356812609,0
2,0.367258825,0
1,0.455394771,1
2,0.489100874,0
2,0.429924795,0
1,0.389833603,1
2,0.358198576,0
1,0.476570675,1
2,0.441636286,0
1,0.587456321,1
2,0.475247273,0
2,0.447179172,0
2,0.308300383,0
1,0.425906907,1
2,0.416505022,0
1,0.508699429,1
1,0.494568348,1
1,0.603545331,1
2,0.564211873,0
2,0.527331416,0
2,0.411101295,0
2,0.373888069,0
2,0.334986561,0
1,0.413126169,1
1,0.50474095,1
1,0.611288208,1
1,0.646757126,1
1,0.665722859,1
2,0.60947719,0
2,0.518973031,0
2,0.414279027,0
2,0.342426963,0
2,0.271558601,0
2,0.225779298,0
2,0.239022227,0
1,0.413199557,1
2,0.395202883,0
1,0.520608343,1
1,0.598598246,1
1,0.637976378,1
1,0.640214069,1
2,0.488897367,0
2,0.441676675,0
1,0.452563492,1
2,0.446673753,0
2,0.425292114,0
1,0.451388298,1
2,0.42016231,0
1,0.462423982,1
2,0.394993328,0
1,0.547756352,1
2,0.45179483,0
1,0.528216645,1
2,0.410673546,0
1,0.479860102,1
1,0.488977707,1
1,0.591489962,1
2,0.563419422,0
2,0.504702413,0
2,0.41269543,0
1,0.47982265,1
2,0.446123456,0
2,0.468079517,0
1,0.423980766,1
1,0.515949749,1
2,0.463150148,0
1,0.516246944,1
1,0.515751504,1
2,0.527009364,0
1,0.535933958,1
1,0.532933015,1
2,0.540207872,0
2,0.427676355,0
2,0.378978878,0
2,0.311919027,0
1,0.408857293,1
1,0.47387624,1
1,0.571813972,1
1,0.65062945,1
1,0.687615145,1
2,0.6760541,0
2,0.500836424,0
1,0.48765464,1
1,0.500837604,1
1,0.627962309,1
1,0.629588693,1
1,0.666721861,1
1,0.672320182,1
1,0.674580914,1
2,0.569277882,0
2,0.491387308,0
2,0.412233871,0
2,0.392552788,0
1,0.45145887,1
2,0.382877869,0
1,0.505380292,1
2,0.396678627,0
2,0.362423323,0
1,0.391619803,1
1,0.514653087,1
2,0.541562418,0
1,0.506141142,1
1,0.529066627,1
2,0.509999814,0
1,0.505933651,1
1,0.542481069,1
1,0.733410195,1
2,0.619550018,0
2,0.42706658,0
1,0.38603459,1
1,0.518606989,1
1,0.585383314,1
1,0.639502718,1
2,0.554776493,0
2,0.47138344,0
1,0.444851826,1
1,0.517721358,1
2,0.542698311,0
2,0.496173661,0
2,0.442239321,0
2,0.420820983,0
1,0.473762071,1
1,0.488869036,1
1,0.529927747,1
1,0.538672178,1
1,0.602735288,1
2,0.520789138,0
2,0.483389471,0
1,0.457340813,1
2,0.443468473,0
2,0.428217165,0
1,0.48656047,1
1,0.566935344,1
1,0.610172597,1
1,0.576660489,1
1,0.651328201,1
1,0.715784944,1
1,0.757622012,1
2,0.581469095,0
2,0.444180352,0
1,0.479381545,1
1,0.575390337,1
1,0.677400627,1
1,0.655313658,1
1,0.636016981,1
1,0.702238003,1
2,0.624391102,0
1,0.626868284,1
1,0.637810741,1
1,0.790360898,1
1,0.751920692,1
1,0.658015016,1
2,0.509370857,0
2,0.385897916,0
1,0.385172724,1
1,0.472949087,1
1,0.593383664,1
2,0.562741181,0
2,0.461511276,0
2,0.403432164,0
1,0.503109555,1
2,0.533088009,0
2,0.502626056,0
2,0.305040954,0
2,0.280178916,0
1,0.415477969,1
2,0.360934902,0
1,0.464222222,1
1,0.499494737,1
2,0.609462469,0
1,0.606937318,1
2,0.540743975,0
2,0.44760189,0
1,0.537186188,1
2,0.497251627,0
1,0.630197925,1
2,0.468170321,0
1,0.548297315,1
1,0.560427261,1
1,0.6721161,1
2,0.582954503,0
2,0.467988337,0
2,0.378229272,0
2,0.298873307,0
1,0.4138797,1
2,0.41873524,0
2,0.500845493,0
1,0.57876435,1
1,0.638994558,1
1,0.713858334,1
2,0.525216836,0
1,0.593304024,1
1,0.644229101,1
2,0.618010628,0
1,0.586012789,1
1,0.576927799,1
2,0.479391657,0
2,0.450328524,0
1,0.495310038,1
1,0.605006672,1
1,0.666344043,1
2,0.58034618,0
1,0.569573551,1
2,0.468853052,0
2,0.459465532,0
2,0.353733432,0
2,0.401988282,0
1,0.459075372,1
1,0.519243398,1
2,0.467689087,0
2,0.344306558,0
2,0.254737606,0
1,0.407447511,1
2,0.454728509,0
2,0.482353964,0
2,0.40407413,0
1,0.454729428,1
2,0.432886277,0
1,0.494851595,1
1,0.542185532,1
1,0.643420299,1
2,0.530979232,0
1,0.526629181,1
2,0.441005168,0
1,0.568077899,1
2,0.478726472,0
1,0.575005133,1
1,0.598346108,1
2,0.55532537,0
2,0.44273632,0
2,0.321675073,0
1,0.406172135,1
1,0.493477688,1
1,0.583977447,1
1,0.620246719,1
2,0.554392035,0
1,0.598039207,1
2,0.525653032,0
2,0.449814105,0
2,0.323844898,0
1,0.414715288,1
2,0.393768641,0
1,0.519501621,1
1,0.532924524,1
1,0.65587975,1
1,0.647068303,1
2,0.502992177,0
2,0.385681597,0
2,0.265415916,0
2,0.269592244,0
1,0.363648926,1
2,0.353093147,0
1,0.468953644,1
2,0.360313978,0
1,0.521787611,1
1,0.542992205,1
2,0.582677321,0
1,0.56434244,1
2,0.498493436,0
1,0.612630497,1
2,0.508423632,0
2,0.419149467,0
2,0.31005979,0
2,0.25257606,0
2,0.231245984,0
1,0.364845191,1
1,0.524598661,1
2,0.484691736,0
2,0.398062447,0
1,0.406221699,1
1,0.553154395,1
2,0.543286056,0
2,0.474051225,0
1,0.511048797,1
1,0.622350978,1
2,0.583844116,0
2,0.482095498,0
2,0.297135315,0
2,0.295453595,0
1,0.38900626,1
1,0.505281378,1
1,0.675698707,1
1,0.618826129,1
1,0.604170113,1
2,0.506840149,0
2,0.469437262,0
1,0.494898942,1
2,0.485490208,0
1,0.550170635,1
2,0.418324518,0
2,0.344749457,0
2,0.289909625,0
2,0.271250951,0
1,0.429924795,1
2,0.358571167,0
1,0.558366394,1
1,0.524598661,1
1,0.638586145,1
1,0.630571477,1
1,0.628750943,1
2,0.603583825,0
2,0.5092058,0
2,0.398250038,0
1,0.508449354,1
2,0.480851058,0
1,0.579966173,1
1,0.55195225,1
2,0.491160017,0
1,0.551866764,1
2,0.415015677,0
1,0.549631813,1
2,0.39352834,0
2,0.413789367,0
2,0.302071194,0
1,0.449460318,1
2,0.407120785,0
1,0.490024249,1
2,0.334122263,0
1,0.458913911,1
1,0.513240118,1
2,0.528760382,0
1,0.565640321,1
2,0.485098586,0
2,0.463912936,0
1,0.493015388,1
2,0.445160785,0
2,0.425798142,0
2,0.309125579,0
2,0.311740184,0
2,0.260991235,0
1,0.445752735,1
1,0.572938669,1
1,0.671415332,1
1,0.6188309,1
1,0.627497651,1
2,0.587047946,0
1,0.617775508,1
2,0.478964744,0
1,0.521429337,1
2,0.462443913,0
1,0.592726736,1
2,0.519600903,0
2,0.497942111,0
2,0.416831748,0
1,0.492205871,1
1,0.557838135,1
2,0.524468137,0
1,0.533340009,1
1,0.540440232,1
2,0.555851667,0
1,0.578947679,1
2,0.520643755,0
2,0.461696962,0
2,0.365338097,0
1,0.389940571,1
1,0.529356856,1
1,0.637371752,1
1,0.728364301,1
1,0.700677914,1
2,0.560376039,0
2,0.451511655,0
2,0.372306738,0
2,0.389578727,0
1,0.458753571,1
1,0.511029001,1
1,0.634581275,1
2,0.536583801,0
1,0.521448119,1
2,0.352321133,0
1,0.534293198,1
1,0.601808661,1
1,0.808352687,1
2,0.614249821,0
2,0.479941282,0
2,0.289213418,0
2,0.285339285,0
1,0.413493246,1
1,0.56120617,1
2,0.50354012,0
1,0.533625706,1
1,0.551272588,1
2,0.56311826,0
1,0.590059069,1
2,0.424380568,0
1,0.577816601,1
2,0.423402679,0
2,0.425111612,0
1,0.418087299,1
1,0.551884591,1
2,0.569203011,0
1,0.576701227,1
2,0.380738408,0
2,0.372297309,0
2,0.258312235,0
1,0.459476872,1
2,0.403949889,0
2,0.348207222,0
2,0.142923334,0
2,0.479391657,0
1,0.525003303,1
1,0.580238132,1
2,0.570829398,0
1,0.628129488,1
2,0.532510499,0
2,0.516744902,0
1,0.499937261,1
2,0.450197375,0
2,0.432960078,0
2,0.297122775,0
2,0.327706468,0
2,0.249823487,0
1,0.394126303,1
1,0.503091705,1
2,0.505719977,0
2,0.422941599,0
1,0.449448098,1
1,0.568156437,1
2,0.627167603,0
2,0.537208573,0
2,0.416200038,0
2,0.38852652,0
1,0.414677672,1
2,0.43770978,0
2,0.379198012,0
1,0.407092802,1
1,0.503091705,1
2,0.51728989,0
2,0.427385135,0
2,0.365736583,0
2,0.329433656,0
1,0.449814105,1
2,0.389216288,0
2,0.42491227,0
1,0.447812041,1
1,0.567244774,1
2,0.4798684,0
2,0.293175548,0
1,0.291096745,1
1,0.498269404,1
2,0.549156071,0
2,0.469494254,0
2,0.332648147,0
2,0.321968391,0
1,0.379248187,1
2,0.406580267,0
1,0.475534511,1
1,0.486870028,1
1,0.543364866,1
1,0.63960614,1
1,0.68487493,1
2,0.633417493,0
2,0.505865577,0
2,0.392114582,0
1,0.486534078,1
1,0.600822633,1
2,0.60611461,0
1,0.654904527,1
1,0.674377604,1
2,0.627511445,0
1,0.544179236,1
1,0.480799094,1
2,0.513451288,0
1,0.530289682,1
2,0.399594509,0
2,0.411643896,0
2,0.267413633,0
1,0.447552029,1
1,0.522464686,1
2,0.560481365,0
2,0.445223507,0
1,0.455753718,1
2,0.432555186,0
2,0.417848895,0
2,0.34336468,0
2,0.363366695,0
1,0.436189566,1
1,0.543569491,1
1,0.627693262,1
2,0.526971598,0
2,0.430436379,0
1,0.472599875,1
2,0.449256414,0
1,0.510915778,1
1,0.567132443,1
1,0.655577682,1
1,0.680809429,1
2,0.57734495,0
2,0.489497227,0
2,0.413801993,0
2,0.394080922,0
1,0.457866616,1
1,0.519992099,1
1,0.59343335,1
1,0.646757126,1
2,0.567217554,0
1,0.576432043,1
2,0.483459959,0
2,0.488841844,0
2,0.367043194,0
2,0.31005979,0
1,0.386986855,1
1,0.5404614,1
1,0.628369035,1
1,0.635675016,1
1,0.665351382,1
2,0.564627257,0
2,0.461570582,0
1,0.438167726,1
2,0.41220244,0
1,0.548914112,1
2,0.376430701,0
2,0.399486191,0
2,0.232581348,0
1,0.399350367,1
1,0.522765277,1
1,0.671039601,1
1,0.685445036,1
2,0.548417399,0
1,0.619804062,1
2,0.49645988,0
1,0.687192519,1
2,0.494987636,0
2,0.475947791,0
2,0.287583122,0
2,0.279572031,0
2,0.27774944,0
1,0.441279359,1
1,0.577441148,1
1,0.7309899,1
2,0.624462609,0
1,0.615340475,1
1,0.584381521,1
2,0.577059849,0
2,0.451366174,0
1,0.485880295,1
1,0.643301784,1
1,0.799780498,1
1,0.767072885,1
2,0.612206077,0
2,0.427501888,0
1,0.421682534,1
1,0.496302684,1
2,0.475113578,0
1,0.500012501,1
1,0.601242828,1
2,0.598121434,0
1,0.566809419,1
1,0.488749508,1
1,0.641512532,1
2,0.51776791,0
1,0.543099151,1
2,0.435410413,0
1,0.557289559,1
1,0.619111237,1
2,0.642498387,0
2,0.578247403,0
2,0.452402883,0
1,0.512264958,1
2,0.44052088,0
2,0.367035947,0
2,0.182836587,0
1,0.388626032,1
1,0.545718853,1
1,0.646496196,1
1,0.608948211,1
1,0.596167376,1
2,0.545648307,0
2,0.485607748,0
2,0.430726258,0
1,0.499093969,1
1,0.621093526,1
2,0.593775661,0
1,0.610556476,1
2,0.467980744,0
1,0.582184724,1
1,0.640279934,1
2,0.651403312,0
2,0.49596227,0
1,0.505349791,1
1,0.664432816,1
2,0.676838197,0
2,0.539121351,0
1,0.490819656,1
1,0.620401481,1
2,0.630518309,0
2,0.495579309,0
1,0.506659029,1
1,0.576789862,1
2,0.630518309,0
1,0.640685191,1
2,0.547304458,0
1,0.609986664,1
2,0.483179459,0
2,0.432960078,0
1,0.459465532,1
1,0.59061775,1
1,0.772341483,1
1,0.737156518,1
1,0.724042586,1
1,0.641512532,1
2,0.557747041,0
1,0.53666899,1
1,0.583423243,1
1,0.695481651,1
1,0.773446727,1
2,0.655798908,0
1,0.678056087,1
2,0.528207432,0
2,0.488150599,0
1,0.384074173,1
1,0.454144663,1
1,0.556855522,1
1,0.557261051,1
1,0.546619244,1
1,0.605987524,1
2,0.595424256,0
1,0.617433141,1
2,0.527619048,0
2,0.482207066,0
2,0.404037122,0
2,0.394919518,0
1,0.465295799,1
2,0.3778164,0
1,0.432431391,1
1,0.493943162,1
2,0.525239289,0
2,0.465342496,0
1,0.436074216,1
2,0.358649347,0
1,0.498069346,1
2,0.409429212,0
1,0.5330528,1
1,0.54406373,1
2,0.597487441,0
2,0.541806339,0
1,0.525426158,1
1,0.577101887,1
2,0.595424256,0
1,0.61583648,1
2,0.566124985,0
2,0.502371056,0
1,0.439333083,1
2,0.413255761,0
1,0.535046795,1
2,0.442599228,0
2,0.422249722,0
1,0.451330443,1
2,0.473124725,0
1,0.541598454,1
2,0.417839008,0
2,0.352449715,0
2,0.275118206,0
1,0.390101561,1
2,0.475183261,0
2,0.531459143,0
1,0.553954791,1
2,0.521199868,0
1,0.550613209,1
2,0.460960391,0
1,0.520325955,1
1,0.559733333,1
1,0.65896773,1
2,0.637705905,0
2,0.545808003,0
2,0.4493889,0
2,0.406413896,0
2,0.372427988,0
2,0.252731387,0
2,0.219387539,0
1,0.370374634,1
2,0.34667679,0
2,0.409942455,0
2,0.239304978,0
1,0.470184718,1
1,0.527052614,1
1,0.636150408,1
2,0.54910304,0
2,0.485187335,0
1,0.506402262,1
2,0.497678388,0
2,0.450078012,0
2,0.353782167,0
1,0.43288799,1
2,0.419902214,0
1,0.485124261,1
2,0.400258433,0
1,0.522428156,1
1,0.556975575,1
1,0.633860222,1
1,0.62657251,1
2,0.562767757,0
1,0.554145552,1
2,0.476804278,0
1,0.58693296,1
1,0.637875026,1
1,0.67093619,1
1,0.617968022,1
1,0.581372433,1
1,0.632770683,1
2,0.576792973,0
2,0.533884763,0
2,0.433181003,0
1,0.550733759,1
2,0.525549276,0
2,0.552988539,0
1,0.465274901,1
2,0.452557322,0
1,0.494989349,1
1,0.574081879,1
1,0.680842567,1
2,0.620612205,0
1,0.609337838,1
2,0.54538971,0
1,0.620621409,1
2,0.528614426,0
2,0.48330965,0
2,0.362164248,0
1,0.424460961,1
1,0.488749508,1
1,0.603447353,1
1,0.651255205,1
2,0.554080365,0
2,0.467420848,0
2,0.347679689,0
1,0.472871297,1
2,0.4558118,0
2,0.421419075,0
1,0.419642232,1
1,0.533885895,1
2,0.541749128,0
1,0.538150915,1
1,0.544243409,1
